Title,Authority,Year,Type,Link,Note
PubMed / MEDLINE,"NCBI, U.S. National Library of Medicine",,Bibliographic Database,https://pubmed.ncbi.nlm.nih.gov,"Primary biomedical literature search engine; abstracts and citations for medicine, pharmacology, nursing."
Google Scholar,Google,,Academic Search Engine,https://scholar.google.com,"Broad cross-disciplinary scholarly search including theses, patents, case law."
ScienceDirect,Elsevier,,Full-text Database,https://www.sciencedirect.com,Full-text access to Elsevier journals and books in pharmaceutical sciences.
Scopus,Elsevier,,Abstract & Citation Database,https://www.scopus.com,"Citation analysis, h-index, journal ranking (CiteScore) for pharma research."
Web of Science,Clarivate,,Citation Database,https://www.webofscience.com,Journal Impact Factor source; multidisciplinary citation index.
Cochrane Library,Cochrane Collaboration,,Systematic Review Database,https://www.cochranelibrary.com,Gold-standard systematic reviews and meta-analyses for evidence-based practice.
ClinicalTrials.gov,U.S. NIH / NLM,,Clinical Trial Registry,https://clinicaltrials.gov,Global registry of clinical trials; protocol and results database.
Clinical Trials Registry – India (CTRI),ICMR – NIMS,,Clinical Trial Registry,https://ctri.nic.in,Mandatory registry for clinical trials conducted in India.
DrugBank,University of Alberta,,Drug & Target Database,https://go.drugbank.com,"Comprehensive drug, target, and pharmacology database."
PubChem,NCBI,,Chemical Database,https://pubchem.ncbi.nlm.nih.gov,"Chemical structures, bioactivity, and safety data for compounds."
RxList,WebMD,,Drug Information,https://www.rxlist.com,"Consumer/clinician drug monographs, interactions, side effects."
Drugs.com,Drugsite Trust,,Drug Information,https://www.drugs.com,"Drug interaction checker, dosage guides, identification tool."
Medscape,WebMD Health,,Clinical Reference,https://www.medscape.com,"Drug reference, CME, medical news for clinicians and students."
UpToDate,Wolters Kluwer,,Clinical Decision Support,https://www.uptodate.com,Evidence-based point-of-care clinical and drug information.
Micromedex,Merative (IBM Watson Health),,Drug Information Suite,https://www.merative.com/clinical-decision-support,Institutional-grade drug interaction and toxicology database.
Lexicomp,Wolters Kluwer,,Drug Reference,https://www.wolterskluwer.com/en/solutions/lexicomp,Detailed drug monographs used in hospital pharmacy practice.
Merck Manuals (Professional & Consumer),Merck & Co.,,Medical Reference,https://www.merckmanuals.com,Widely used free medical/pharma reference for students & clinicians.
