Title,Authority,Year,Type,Link,Note
"New Drugs and Clinical Trials Rules, 2019 (as amended)","CDSCO / MoHFW, Govt. of India",2019,Indian regulation,"https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2022/new_DC_rules/NEW%20DRUGS%20ANDctrS%20RULE,%202019.pdf","GSR 227(E), 19-03-2019. Covers new drugs, investigational new drugs, clinical trials, BA/BE studies and ethics committees. CDSCO copy shows 2022 amendments; check for the latest."
"Drugs and Cosmetics Act, 1940 and Drugs and Cosmetics Rules, 1945","CDSCO / MoHFW, Govt. of India",1940 / 1945,Indian regulation,https://cdsco.gov.in,"Parent law for drug manufacture, sale and import in India. Find the Act and Rules in the CDSCO website's Acts & Rules section."
CDSCO status at ICH (observer),ICH / CDSCO,2016,Regulatory status,https://fdanews.com/articles/196280-ich-to-bring-india-on-board,Joined ICH as observer in Feb 2016 (no voting rights) per a March 2020 report. Verify current status on ich.org. ICH guidelines are technical references; binding law in India is the D&C Act/Rules and NDCT Rules.
CDSCO Good Clinical Practice guidelines (draft),CDSCO,2024,Indian guideline (draft),https://www.regdesk.co/blog/cdsco-guidance-on-good-clinical-practices-overview/,Draft released Sept 2024 for 30-day consultation; aligned with NDCT Rules 2019 and draws on ICH E6(R3). Link is a secondary summary; check cdsco.gov.in for final status.
Indian Pharmacopoeia (IP) - monographs incl. paracetamol and ibuprofen,"Indian Pharmacopoeia Commission (IPC), MoHFW",2022,Pharmacopoeia,https://ipc.gov.in,"Legal quality standards (identity, purity, strength). IP 2022 is the edition I have; IPC has announced a 2026 edition, so check the latest before citing."
Pharmacovigilance Programme of India (PvPI),IPC (National Coordination Centre) / MoHFW,2010,Pharmacovigilance,https://ipc.gov.in/PvPI/about.html,"Launched July 2010; coordination centre moved to IPC in April 2011. ADR reports for any drug, including paracetamol and ibuprofen, go through this network."
National List of Essential Medicines (NLEM) 2022,"MoHFW, Govt. of India",2022,Essential medicines list,https://main.mohfw.gov.in/newshighlights-104,384 medicines; NLEM drugs fall under NPPA price control. Confirm the exact paracetamol and ibuprofen entries (strengths/levels of care) in the analgesic/NSAID section.
ICH E6(R3) Good Clinical Practice,ICH,2025,ICH guideline - Efficacy,https://www.ich.org/page/efficacy-guidelines,Finalised Jan 2025. Global GCP standard behind India's clinical trial practice; link opens ICH Efficacy guidelines page.
ICH E2E Pharmacovigilance Planning,ICH,2004,ICH guideline - Efficacy,https://www.ich.org/page/efficacy-guidelines,Framework for safety specification and pharmacovigilance plans; relevant to PvPI-style post-marketing monitoring.
ICH E2C(R2) Periodic Benefit-Risk Evaluation Report (PBRER),ICH,2012,ICH guideline - Efficacy,https://www.ich.org/page/efficacy-guidelines,Periodic safety reporting format; India's PSUR requirements are separate but related.
ICH Q1A(R2) Stability Testing of New Drug Substances and Products,ICH,2003,ICH guideline - Quality,https://www.ich.org/page/quality-guidelines,Basis for stability studies of paracetamol and ibuprofen dosage forms. The Q1 series is under revision; check ich.org for the current version.
ICH Q2(R2) Validation of Analytical Procedures,ICH,2023,ICH guideline - Quality,https://www.ich.org/page/quality-guidelines,Applies to assay and related-substances methods (e.g. HPLC/UV) for paracetamol and ibuprofen.
ICH Q3A(R2) Impurities in New Drug Substances,ICH,2006,ICH guideline - Quality,https://www.ich.org/page/quality-guidelines,"Reporting, identification and qualification thresholds for drug substance impurities (e.g. 4-aminophenol is a known paracetamol related substance)."
ICH Q3B(R2) Impurities in New Drug Products,ICH,2006,ICH guideline - Quality,https://www.ich.org/page/quality-guidelines,Degradation products in finished dosage forms.
ICH Q3C(R8) Residual Solvents,ICH,2021,ICH guideline - Quality,https://www.ich.org/page/quality-guidelines,Permitted daily exposure limits for residual solvents in APIs and products.
ICH Q3D(R2) Elemental Impurities,ICH,2022,ICH guideline - Quality,https://www.ich.org/page/quality-guidelines,Risk-based control of elemental impurities in drug products.
ICH Q6A Specifications: Test Procedures and Acceptance Criteria (Chemical Substances),ICH,1999,ICH guideline - Quality,https://www.ich.org/page/quality-guidelines,Framework for setting specifications for drug substances and tablets/oral liquids.
ICH Q8(R2) Pharmaceutical Development,ICH,2009,ICH guideline - Quality,https://www.ich.org/page/quality-guidelines,Quality by Design principles for formulation development.
ICH Q9(R1) Quality Risk Management,ICH,2023,ICH guideline - Quality,https://www.ich.org/page/quality-guidelines,Risk management framework across the product lifecycle.
ICH Q10 Pharmaceutical Quality System,ICH,2008,ICH guideline - Quality,https://www.ich.org/page/quality-guidelines,Quality system model that complements GMP.
ICH M4(R4) Common Technical Document (CTD),ICH,2016,ICH guideline - Multidisciplinary,https://www.ich.org/page/multidisciplinary-guidelines,Standard dossier format for registration applications.
ICH M9 Biopharmaceutics Classification System-based Biowaivers,ICH,2019,ICH guideline - Multidisciplinary,https://www.ich.org/page/multidisciplinary-guidelines,Criteria for waiving in vivo BE studies for some oral products; check the drug's BCS class in the literature before applying.
"Paracetamol: mechanism of action, applications and safety concern","Acta Pol Pharm (Jozwiak-Bebenista M, Nowak JZ)",2014,PubMed - Review,https://pubmed.ncbi.nlm.nih.gov/24779190/,"PMID 24779190. Covers mechanisms, uses and hepatotoxicity risk with high doses (>4 g/day). Paracetamol."
An Updated Review on the Metabolite (AM404)-Mediated Central Mechanism of Action of Paracetamol (Acetaminophen),"J Pain Res (Mallet C, Desmeules J, Pegahi R, Eschalier A)",2023,PubMed - Review,https://pubmed.ncbi.nlm.nih.gov/37016715/,"PMID 37016715. Central, COX-independent analgesic mechanism via AM404; notes NAPQI-mediated liver necrosis at high doses. Paracetamol."
"Ibuprofen: pharmacology, efficacy and safety",Inflammopharmacology (Rainsford KD),2009,PubMed - Review,https://pubmed.ncbi.nlm.nih.gov/19949916/,"PMID 19949916. Comprehensive review of ibuprofen pharmacology, clinical use and safety, including comparison with paracetamol. Ibuprofen."
Single dose oral ibuprofen plus paracetamol (acetaminophen) for acute postoperative pain,"Cochrane Database Syst Rev (Derry CJ, Derry S, Moore RA)",2013,PubMed - Cochrane review,https://www.cochrane.org/evidence/CD010210_single-dose-oral-ibuprofen-plus-paracetamol-acetaminophen-acute-postoperative-pain,CD010210. Three trials (1647 people): the combination outperformed either drug alone. Both drugs. Link goes to the Cochrane page.
PubMed live search: paracetamol systematic reviews,NCBI / National Library of Medicine,Live search,PubMed - search,https://pubmed.ncbi.nlm.nih.gov/?term=paracetamol+AND+systematic%5Bsb%5D,Always-current list of systematic reviews on paracetamol.
PubMed live search: ibuprofen systematic reviews,NCBI / National Library of Medicine,Live search,PubMed - search,https://pubmed.ncbi.nlm.nih.gov/?term=ibuprofen+AND+systematic%5Bsb%5D,Always-current list of systematic reviews on ibuprofen.
PubMed live search: paracetamol or ibuprofen with India affiliation,NCBI / National Library of Medicine,Live search,PubMed - search,https://pubmed.ncbi.nlm.nih.gov/?term=%28paracetamol+OR+ibuprofen%29+AND+India%5Bad%5D,Studies with an Indian author affiliation; useful for India-specific data.
